[Header],,,,,
Investigator Name,,,,,
Project Name,,,,,
Experiment Name,,,,,
Date,2012-09-19,,,,
,,,,,
[Data],,,,,
Sample_Name,Sample_Well,Sentrix_Position,Decode,Group,Sentrix_ID,mtDNACN
ArkingEPIC_Sample-1,A09,R01C01,TFAM_KO_Clone_11_2,Knockout,203751390048,7.57
ArkingEPIC_Sample-2,B09,R02C01,HEK293T_NC-1_2,Normal,203751390048,3.23
ArkingEPIC_Sample-3,C09,R03C01,Chem-NC_2,Chem,203751390048,
ArkingEPIC_Sample-4,D09,R04C01,TFAM_KO_Clone_5_2,Knockout,203751390048,8.92
ArkingEPIC_Sample-5,E09,R05C01,HEK293T_NC-2_2,Normal,203751390048,4.02
ArkingEPIC_Sample-6,F09,R06C01,TFAM_KO_Clone_6_2,Knockout,203751390048,7.56
ArkingEPIC_Sample-7,G09,R07C01,Chem-Ace5_2,Chem,203751390048,
ArkingEPIC_Sample-8,H09,R08C01,HEK293T_NC-3_2,Normal,203751390048,4.12
HEK293T_NC-1,C01,R03C01,HEK293T_NC-1_1,Normal,201114530008,3.23
HEK293T_NC-2,D01,R04C01,HEK293T_NC-2_1,Normal,201114530008,4.02
HEK293T_NC-3,E01,R05C01,HEK293T_NC-3_1,Normal,201114530008,4.12
TFAM_KO_Clone_5,F01,R06C01,TFAM_KO_Clone_5_1,Knockout,201114530008,8.92
TFAM_KO_Clone_6,G01,R07C01,TFAM_KO_Clone_6_1,Knockout,201114530008,7.56
TFAM_KO_Clone_11,H01,R08C01,TFAM_KO_Clone_11_1,Knockout,201114530008,7.57
